Region,LGA,Quarter,Count,Median,Property Type,Number of Bedrooms
Barwon South West,Colac-Otway,1999Q2,20.0,115.0,House,2
Barwon South West,Colac-Otway,1999Q3,16.0,105.0,House,2
Barwon South West,Colac-Otway,1999Q4,16.0,110.0,House,2
Barwon South West,Colac-Otway,2000Q1,13.0,110.0,House,2
Barwon South West,Colac-Otway,2000Q2,12.0,120.0,House,2
Barwon South West,Colac-Otway,2000Q3,11.0,115.0,House,2
Barwon South West,Colac-Otway,2000Q4,11.0,110.0,House,2
Barwon South West,Colac-Otway,2001Q1,14.0,115.0,House,2
Barwon South West,Colac-Otway,2001Q2,9.0,125.0,House,2
Barwon South West,Colac-Otway,2001Q3,14.0,130.0,House,2
Barwon South West,Colac-Otway,2001Q4,8.0,130.0,House,2
Barwon South West,Colac-Otway,2002Q1,10.0,135.0,House,2
Barwon South West,Colac-Otway,2002Q2,16.0,150.0,House,2
Barwon South West,Colac-Otway,2002Q3,20.0,150.0,House,2
Barwon South West,Colac-Otway,2002Q4,14.0,138.0,House,2
Barwon South West,Colac-Otway,2003Q1,17.0,165.0,House,2
Barwon South West,Colac-Otway,2003Q2,12.0,153.0,House,2
Barwon South West,Colac-Otway,2003Q3,22.0,150.0,House,2
Barwon South West,Colac-Otway,2003Q4,19.0,155.0,House,2
Barwon South West,Colac-Otway,2004Q1,21.0,150.0,House,2
Barwon South West,Colac-Otway,2004Q2,19.0,155.0,House,2
Barwon South West,Colac-Otway,2004Q3,11.0,160.0,House,2
Barwon South West,Colac-Otway,2004Q4,15.0,155.0,House,2
Barwon South West,Colac-Otway,2005Q1,15.0,150.0,House,2
Barwon South West,Colac-Otway,2005Q2,12.0,170.0,House,2
Barwon South West,Colac-Otway,2005Q3,14.0,160.0,House,2
Barwon South West,Colac-Otway,2005Q4,11.0,170.0,House,2
Barwon South West,Colac-Otway,2006Q1,15.0,150.0,House,2
Barwon South West,Colac-Otway,2006Q2,13.0,170.0,House,2
Barwon South West,Colac-Otway,2006Q3,20.0,173.0,House,2
Barwon South West,Colac-Otway,2006Q4,21.0,170.0,House,2
Barwon South West,Colac-Otway,2007Q1,14.0,183.0,House,2
Barwon South West,Colac-Otway,2007Q2,15.0,175.0,House,2
Barwon South West,Colac-Otway,2007Q3,14.0,178.0,House,2
Barwon South West,Colac-Otway,2007Q4,15.0,180.0,House,2
Barwon South West,Colac-Otway,2008Q1,13.0,185.0,House,2
Barwon South West,Colac-Otway,2008Q2,12.0,185.0,House,2
Barwon South West,Colac-Otway,2008Q3,13.0,185.0,House,2
Barwon South West,Colac-Otway,2008Q4,21.0,185.0,House,2
Barwon South West,Colac-Otway,2009Q1,15.0,200.0,House,2
Barwon South West,Colac-Otway,2009Q2,22.0,188.0,House,2
Barwon South West,Colac-Otway,2009Q3,19.0,190.0,House,2
Barwon South West,Colac-Otway,2009Q4,15.0,200.0,House,2
Barwon South West,Colac-Otway,2010Q1,16.0,198.0,House,2
Barwon South West,Colac-Otway,2010Q2,13.0,180.0,House,2
Barwon South West,Colac-Otway,2010Q3,12.0,215.0,House,2
Barwon South West,Colac-Otway,2010Q4,23.0,210.0,House,2
Barwon South West,Colac-Otway,2011Q1,16.0,200.0,House,2
Barwon South West,Colac-Otway,2011Q2,22.0,223.0,House,2
Barwon South West,Colac-Otway,2011Q3,22.0,220.0,House,2
Barwon South West,Colac-Otway,2011Q4,21.0,220.0,House,2
Barwon South West,Colac-Otway,2012Q1,18.0,206.0,House,2
Barwon South West,Colac-Otway,2012Q2,18.0,220.0,House,2
Barwon South West,Colac-Otway,2012Q3,24.0,223.0,House,2
Barwon South West,Colac-Otway,2012Q4,17.0,230.0,House,2
Barwon South West,Colac-Otway,2013Q1,13.0,240.0,House,2
Barwon South West,Colac-Otway,2013Q2,14.0,210.0,House,2
Barwon South West,Colac-Otway,2013Q3,26.0,230.0,House,2
Barwon South West,Colac-Otway,2013Q4,17.0,230.0,House,2
Barwon South West,Colac-Otway,2014Q1,15.0,230.0,House,2
Barwon South West,Colac-Otway,2014Q2,17.0,235.0,House,2
Barwon South West,Colac-Otway,2014Q3,19.0,230.0,House,2
Barwon South West,Colac-Otway,2014Q4,19.0,240.0,House,2
Barwon South West,Colac-Otway,2015Q1,22.0,240.0,House,2
Barwon South West,Colac-Otway,2015Q2,19.0,250.0,House,2
Barwon South West,Colac-Otway,2015Q3,26.0,240.0,House,2
